timestamp_ms,gyrox_deg,gyroy_deg,gyroz_deg,accelx_deg,accely_deg,compfilterx_deg,compfiltery_deg
4295.00,-0.068,0.281,0.071,-0.613,-0.490,-0.620,-0.255
4317.00,-0.068,0.283,0.073,-0.608,-0.373,-0.620,-0.256
4340.00,-0.070,0.286,0.072,-0.761,-0.567,-0.624,-0.260
4363.00,-0.076,0.284,0.075,-0.765,-0.348,-0.632,-0.263
4386.00,-0.076,0.287,0.076,-0.666,-0.333,-0.633,-0.261
4409.00,-0.080,0.291,0.075,-0.679,-0.402,-0.638,-0.260
4432.00,-0.081,0.294,0.075,-0.707,-0.402,-0.641,-0.260
4455.00,-0.081,0.297,0.075,-0.759,-0.469,-0.643,-0.262
4478.00,-0.081,0.300,0.078,-0.816,-0.553,-0.646,-0.265
4501.00,-0.081,0.302,0.079,-0.526,-0.388,-0.644,-0.264
4524.00,-0.080,0.305,0.079,-0.595,-0.498,-0.642,-0.266
4547.00,-0.084,0.308,0.079,-0.637,-0.457,-0.646,-0.267
4569.00,-0.084,0.311,0.079,-0.721,-0.374,-0.647,-0.267
4592.00,-0.085,0.313,0.082,-0.788,-0.359,-0.651,-0.266
4615.00,-0.085,0.318,0.082,-0.692,-0.415,-0.652,-0.265
4638.00,-0.087,0.319,0.083,-0.650,-0.526,-0.654,-0.269
4661.00,-0.092,0.319,0.085,-0.638,-0.430,-0.659,-0.272
4684.00,-0.092,0.322,0.085,-0.638,-0.360,-0.658,-0.271
4707.00,-0.094,0.328,0.089,-0.706,-0.429,-0.661,-0.269
4730.00,-0.095,0.329,0.089,-0.843,-0.456,-0.666,-0.271
4753.00,-0.097,0.332,0.087,-0.720,-0.415,-0.668,-0.271
4776.00,-0.097,0.333,0.089,-0.582,-0.512,-0.666,-0.275
4799.00,-0.097,0.335,0.089,-0.636,-0.456,-0.666,-0.277
4821.00,-0.097,0.336,0.090,-0.719,-0.443,-0.667,-0.279
4844.00,-0.097,0.337,0.090,-0.791,-0.374,-0.669,-0.279
4867.00,-0.101,0.340,0.087,-0.747,-0.360,-0.675,-0.278
4890.00,-0.104,0.344,0.089,-0.554,-0.415,-0.675,-0.277
4913.00,-0.102,0.346,0.090,-0.692,-0.346,-0.674,-0.277
4936.00,-0.102,0.349,0.092,-0.705,-0.387,-0.675,-0.276
4959.00,-0.104,0.351,0.090,-0.872,-0.471,-0.680,-0.277
4982.00,-0.105,0.354,0.092,-0.665,-0.388,-0.681,-0.277
5005.00,-0.106,0.360,0.090,-0.663,-0.456,-0.682,-0.275
5028.00,-0.108,0.364,0.089,-0.678,-0.498,-0.684,-0.275
5050.00,-0.105,0.363,0.091,-0.637,-0.471,-0.680,-0.280
5073.00,-0.107,0.364,0.093,-0.691,-0.429,-0.682,-0.282
5096.00,-0.107,0.364,0.094,-0.775,-0.401,-0.683,-0.284
5119.00,-0.109,0.367,0.093,-0.706,-0.388,-0.687,-0.284
5142.00,-0.107,0.368,0.094,-0.596,-0.360,-0.682,-0.284
5165.00,-0.109,0.370,0.097,-0.609,-0.498,-0.683,-0.287
5188.00,-0.109,0.371,0.096,-0.747,-0.553,-0.685,-0.291
5211.00,-0.109,0.375,0.094,-0.734,-0.332,-0.686,-0.287
5234.00,-0.108,0.377,0.098,-0.706,-0.415,-0.685,-0.289
5257.00,-0.108,0.375,0.098,-0.774,-0.539,-0.686,-0.295
5280.00,-0.107,0.375,0.098,-0.650,-0.498,-0.684,-0.299
5302.00,-0.108,0.378,0.098,-0.677,-0.332,-0.686,-0.297
5325.00,-0.111,0.382,0.094,-0.748,-0.443,-0.690,-0.296
5348.00,-0.111,0.382,0.094,-0.721,-0.402,-0.690,-0.298
5371.00,-0.111,0.385,0.094,-0.760,-0.332,-0.692,-0.296
5394.00,-0.112,0.384,0.096,-0.663,-0.415,-0.692,-0.300
5417.00,-0.113,0.386,0.097,-0.581,-0.484,-0.692,-0.301
5440.00,-0.113,0.393,0.098,-0.816,-0.429,-0.694,-0.296
5463.00,-0.115,0.398,0.103,-0.678,-0.401,-0.695,-0.294
5486.00,-0.116,0.398,0.103,-0.679,-0.319,-0.696,-0.295
5509.00,-0.118,0.402,0.103,-0.678,-0.415,-0.697,-0.293
5532.00,-0.120,0.405,0.104,-0.650,-0.484,-0.699,-0.294
5554.00,-0.122,0.413,0.100,-0.637,-0.443,-0.699,-0.289
5577.00,-0.123,0.417,0.103,-0.705,-0.415,-0.701,-0.288
5600.00,-0.125,0.420,0.103,-0.735,-0.499,-0.703,-0.289
5623.00,-0.122,0.421,0.104,-0.774,-0.387,-0.701,-0.290
5646.00,-0.122,0.427,0.106,-0.678,-0.429,-0.701,-0.287
5669.00,-0.122,0.431,0.107,-0.637,-0.429,-0.700,-0.286
5692.00,-0.125,0.435,0.108,-0.734,-0.457,-0.703,-0.285
5715.00,-0.125,0.439,0.108,-0.664,-0.456,-0.702,-0.284
5738.00,-0.123,0.439,0.111,-0.734,-0.415,-0.701,-0.287
5761.00,-0.125,0.444,0.111,-0.649,-0.373,-0.702,-0.285
5783.00,-0.127,0.445,0.111,-0.651,-0.402,-0.703,-0.286
5806.00,-0.130,0.446,0.111,-0.638,-0.430,-0.705,-0.287
5829.00,-0.130,0.448,0.115,-0.747,-0.374,-0.706,-0.287
5852.00,-0.133,0.455,0.118,-0.747,-0.374,-0.709,-0.282
5875.00,-0.136,0.459,0.117,-0.733,-0.360,-0.712,-0.280
