timestamp_ms,gyrox_deg,gyroy_deg,gyroz_deg,accelx_deg,accely_deg,compfilterx_deg,compfiltery_deg,kalmanx_deg,kalmany_deg
2256.00,-0.012,0.026,0.020,-1.027,-0.722,-0.124,-0.059,-0.648,-0.442
2279.00,-0.014,0.030,0.020,-1.106,-0.622,-0.146,-0.066,-0.776,-0.500
2302.00,-0.013,0.033,0.020,-0.843,-0.760,-0.159,-0.078,-0.832,-0.576
2325.00,-0.016,0.035,0.022,-0.849,-0.919,-0.175,-0.092,-0.882,-0.669
2348.00,-0.017,0.041,0.024,-0.981,-0.649,-0.193,-0.097,-0.946,-0.698
2371.00,-0.019,0.045,0.022,-1.112,-0.875,-0.212,-0.109,-1.022,-0.763
2394.00,-0.020,0.048,0.022,-1.008,-0.801,-0.230,-0.120,-1.067,-0.806
2417.00,-0.020,0.052,0.022,-0.902,-0.597,-0.243,-0.125,-1.083,-0.804
2439.00,-0.021,0.055,0.018,-0.858,-0.761,-0.257,-0.135,-1.085,-0.827
2462.00,-0.021,0.058,0.018,-1.051,-0.691,-0.273,-0.144,-1.117,-0.834
2485.00,-0.026,0.061,0.016,-1.024,-0.636,-0.292,-0.151,-1.140,-0.827
2508.00,-0.026,0.063,0.017,-0.874,-0.818,-0.303,-0.161,-1.126,-0.850
2531.00,-0.023,0.066,0.016,-0.858,-0.678,-0.312,-0.169,-1.103,-0.843
2554.00,-0.024,0.070,0.016,-0.997,-0.692,-0.327,-0.175,-1.110,-0.835
2577.00,-0.024,0.073,0.020,-1.095,-0.762,-0.342,-0.184,-1.130,-0.840
2600.00,-0.026,0.076,0.023,-1.051,-0.691,-0.358,-0.192,-1.138,-0.828
2623.00,-0.026,0.075,0.021,-0.845,-0.790,-0.367,-0.205,-1.102,-0.839
2646.00,-0.026,0.077,0.020,-0.968,-0.747,-0.379,-0.213,-1.091,-0.834
2669.00,-0.028,0.079,0.023,-1.009,-0.691,-0.395,-0.221,-1.090,-0.819
2691.00,-0.031,0.081,0.023,-1.105,-0.732,-0.412,-0.229,-1.105,-0.811
2714.00,-0.031,0.087,0.023,-1.039,-0.762,-0.424,-0.234,-1.103,-0.807
2737.00,-0.032,0.087,0.021,-0.805,-0.680,-0.433,-0.243,-1.056,-0.791
2760.00,-0.032,0.090,0.023,-0.901,-0.735,-0.443,-0.250,-1.030,-0.784
2783.00,-0.035,0.091,0.024,-1.051,-0.678,-0.457,-0.257,-1.038,-0.768
2806.00,-0.035,0.091,0.025,-1.174,-0.746,-0.472,-0.267,-1.067,-0.767
2829.00,-0.035,0.094,0.023,-0.956,-0.706,-0.481,-0.273,-1.049,-0.756
2852.00,-0.035,0.096,0.023,-0.831,-0.706,-0.488,-0.280,-1.009,-0.747
2875.00,-0.034,0.096,0.024,-0.817,-0.789,-0.494,-0.290,-0.969,-0.757
2898.00,-0.034,0.097,0.025,-1.011,-0.762,-0.504,-0.299,-0.972,-0.758
2921.00,-0.031,0.101,0.025,-1.093,-0.733,-0.513,-0.303,-0.990,-0.752
2943.00,-0.032,0.104,0.025,-1.054,-0.749,-0.525,-0.309,-1.002,-0.751
2966.00,-0.031,0.105,0.030,-0.872,-0.679,-0.531,-0.315,-0.975,-0.737
2989.00,-0.031,0.111,0.031,-0.941,-0.831,-0.539,-0.320,-0.966,-0.751
3012.00,-0.031,0.115,0.034,-0.955,-0.747,-0.547,-0.325,-0.960,-0.749
3035.00,-0.032,0.116,0.035,-1.093,-0.747,-0.560,-0.332,-0.984,-0.749
3058.00,-0.034,0.118,0.035,-1.053,-0.693,-0.571,-0.338,-0.997,-0.739
3081.00,-0.032,0.121,0.035,-0.831,-0.748,-0.575,-0.343,-0.964,-0.740
3104.00,-0.034,0.123,0.034,-0.873,-0.707,-0.582,-0.348,-0.945,-0.732
3127.00,-0.034,0.126,0.035,-1.039,-0.707,-0.591,-0.352,-0.959,-0.726
3150.00,-0.034,0.128,0.035,-0.967,-0.801,-0.599,-0.360,-0.958,-0.739
3173.00,-0.034,0.130,0.035,-0.926,-0.747,-0.605,-0.365,-0.950,-0.740
3195.00,-0.038,0.133,0.034,-0.914,-0.734,-0.615,-0.369,-0.943,-0.738
3218.00,-0.035,0.133,0.034,-0.928,-0.679,-0.619,-0.375,-0.935,-0.728
3241.00,-0.034,0.137,0.037,-0.956,-0.707,-0.624,-0.378,-0.934,-0.721
3264.00,-0.035,0.142,0.037,-0.982,-0.719,-0.633,-0.381,-0.942,-0.718
3287.00,-0.032,0.144,0.038,-1.026,-0.694,-0.638,-0.384,-0.953,-0.711
3310.00,-0.034,0.146,0.038,-0.913,-0.761,-0.645,-0.390,-0.946,-0.719
3333.00,-0.034,0.147,0.039,-0.915,-0.749,-0.650,-0.396,-0.939,-0.725
3356.00,-0.031,0.149,0.041,-0.969,-0.720,-0.654,-0.401,-0.940,-0.724
3379.00,-0.029,0.151,0.042,-0.943,-0.707,-0.658,-0.405,-0.938,-0.720
3402.00,-0.032,0.154,0.044,-0.942,-0.720,-0.667,-0.408,-0.940,-0.718
3425.00,-0.029,0.156,0.041,-0.954,-0.705,-0.670,-0.413,-0.939,-0.716
3447.00,-0.031,0.161,0.041,-0.983,-0.775,-0.677,-0.415,-0.948,-0.723
3470.00,-0.029,0.165,0.039,-1.025,-0.693,-0.683,-0.416,-0.962,-0.716
