timestamp_ms,gyrox_deg,gyroy_deg,gyroz_deg,accelx_deg,accely_deg,compfilterx_deg,compfiltery_deg,kalmanx_deg,kalmany_deg
2371.00,-0.014,0.045,0.018,-1.064,-0.705,-0.224,-0.102,-1.110,-0.729
2394.00,-0.014,0.048,0.018,-1.014,-0.694,-0.240,-0.111,-1.144,-0.757
2417.00,-0.017,0.048,0.017,-1.118,-0.731,-0.260,-0.124,-1.191,-0.788
2439.00,-0.020,0.051,0.014,-1.056,-0.694,-0.279,-0.132,-1.214,-0.802
2462.00,-0.016,0.052,0.014,-1.175,-0.705,-0.292,-0.142,-1.248,-0.815
2485.00,-0.017,0.052,0.017,-1.125,-0.681,-0.310,-0.153,-1.270,-0.821
2508.00,-0.016,0.055,0.020,-1.037,-0.650,-0.324,-0.160,-1.267,-0.815
2531.00,-0.014,0.055,0.018,-1.054,-0.707,-0.337,-0.171,-1.262,-0.819
2554.00,-0.014,0.055,0.021,-1.150,-0.735,-0.353,-0.183,-1.273,-0.826
2577.00,-0.016,0.057,0.023,-1.106,-0.691,-0.370,-0.191,-1.272,-0.820
2600.00,-0.016,0.059,0.023,-1.124,-0.597,-0.385,-0.197,-1.269,-0.793
2623.00,-0.016,0.061,0.023,-1.078,-0.719,-0.399,-0.206,-1.256,-0.792
2646.00,-0.018,0.064,0.021,-0.997,-0.748,-0.413,-0.214,-1.227,-0.793
2669.00,-0.018,0.065,0.023,-1.121,-0.720,-0.427,-0.223,-1.222,-0.790
2691.00,-0.018,0.068,0.023,-1.190,-0.664,-0.443,-0.229,-1.228,-0.773
2714.00,-0.018,0.072,0.023,-1.122,-0.638,-0.456,-0.233,-1.219,-0.752
2737.00,-0.017,0.076,0.020,-0.969,-0.706,-0.465,-0.238,-1.179,-0.745
2760.00,-0.017,0.079,0.020,-0.967,-0.636,-0.475,-0.243,-1.144,-0.727
2783.00,-0.017,0.082,0.018,-1.094,-0.692,-0.488,-0.250,-1.136,-0.721
2806.00,-0.020,0.087,0.017,-1.096,-0.638,-0.502,-0.252,-1.131,-0.703
2829.00,-0.023,0.090,0.020,-1.025,-0.706,-0.516,-0.258,-1.113,-0.702
2852.00,-0.024,0.090,0.021,-1.011,-0.734,-0.527,-0.268,-1.093,-0.709
2875.00,-0.024,0.093,0.023,-0.981,-0.691,-0.536,-0.274,-1.068,-0.705
2898.00,-0.023,0.097,0.023,-1.190,-0.719,-0.548,-0.278,-1.086,-0.706
2921.00,-0.026,0.101,0.027,-1.107,-0.706,-0.562,-0.283,-1.089,-0.704
2943.00,-0.026,0.104,0.027,-1.107,-0.692,-0.573,-0.288,-1.090,-0.701
2966.00,-0.027,0.105,0.025,-1.038,-0.761,-0.583,-0.296,-1.079,-0.713
2989.00,-0.028,0.107,0.028,-0.996,-0.719,-0.593,-0.303,-1.061,-0.716
3012.00,-0.030,0.110,0.032,-1.161,-0.691,-0.606,-0.308,-1.077,-0.711
3035.00,-0.030,0.112,0.034,-1.149,-0.720,-0.617,-0.314,-1.089,-0.713
3058.00,-0.030,0.115,0.031,-1.188,-0.705,-0.628,-0.319,-1.107,-0.711
3081.00,-0.030,0.118,0.030,-1.011,-0.734,-0.636,-0.325,-1.088,-0.716
3104.00,-0.030,0.122,0.028,-1.038,-0.650,-0.644,-0.327,-1.077,-0.702
3127.00,-0.028,0.122,0.028,-1.066,-0.664,-0.651,-0.334,-1.072,-0.696
3150.00,-0.031,0.124,0.027,-1.122,-0.651,-0.663,-0.339,-1.082,-0.687
3173.00,-0.033,0.125,0.025,-1.010,-0.678,-0.671,-0.344,-1.067,-0.684
3195.00,-0.031,0.124,0.023,-1.136,-0.762,-0.679,-0.354,-1.077,-0.700
3218.00,-0.030,0.125,0.026,-1.025,-0.637,-0.685,-0.358,-1.064,-0.688
3241.00,-0.030,0.128,0.023,-1.039,-0.693,-0.692,-0.362,-1.057,-0.687
3264.00,-0.028,0.129,0.026,-1.120,-0.747,-0.699,-0.368,-1.066,-0.698
3287.00,-0.028,0.132,0.024,-1.040,-0.555,-0.706,-0.369,-1.059,-0.669
3310.00,-0.031,0.134,0.026,-1.091,-0.580,-0.716,-0.372,-1.066,-0.650
3333.00,-0.031,0.136,0.027,-1.098,-0.625,-0.724,-0.374,-1.071,-0.640
3356.00,-0.033,0.136,0.027,-1.010,-0.609,-0.731,-0.379,-1.059,-0.632
3379.00,-0.035,0.136,0.026,-1.025,-0.651,-0.740,-0.385,-1.053,-0.632
3402.00,-0.035,0.138,0.024,-1.024,-0.900,-0.745,-0.393,-1.045,-0.680
3425.00,-0.037,0.142,0.020,-0.986,-0.375,-0.752,-0.389,-1.032,-0.619
3447.00,-0.038,0.150,0.021,-0.926,-0.498,-0.756,-0.383,-1.009,-0.586
3470.00,-0.038,0.153,0.021,-1.135,-1.245,-0.764,-0.398,-1.028,-0.705
3493.00,-0.038,0.157,0.021,-1.193,-0.527,-0.772,-0.396,-1.057,-0.674
3516.00,-0.040,0.159,0.023,-0.876,-0.556,-0.776,-0.398,-1.022,-0.653
3539.00,-0.040,0.163,0.026,-1.221,-1.262,-0.785,-0.411,-1.057,-0.768
3562.00,-0.038,0.164,0.030,-1.277,-0.569,-0.793,-0.413,-1.099,-0.739
3585.00,-0.038,0.168,0.031,-0.899,-0.332,-0.795,-0.407,-1.064,-0.665
3608.00,-0.037,0.171,0.034,-1.050,-1.064,-0.799,-0.418,-1.060,-0.740
3631.00,-0.038,0.174,0.033,-1.261,-0.630,-0.810,-0.419,-1.100,-0.724
3654.00,-0.037,0.178,0.034,-0.927,-0.641,-0.811,-0.419,-1.069,-0.710
3676.00,-0.038,0.182,0.034,-1.007,-0.727,-0.816,-0.422,-1.058,-0.714
3699.00,-0.039,0.185,0.033,-1.007,-0.552,-0.821,-0.421,-1.049,-0.685
3722.00,-0.039,0.182,0.035,-1.105,-0.912,-0.827,-0.434,-1.058,-0.732
3745.00,-0.038,0.186,0.034,-0.929,-0.624,-0.828,-0.434,-1.031,-0.713
3768.00,-0.041,0.188,0.031,-0.987,-0.653,-0.833,-0.437,-1.022,-0.704
3791.00,-0.041,0.192,0.033,-1.165,-0.674,-0.840,-0.437,-1.047,-0.697
3814.00,-0.038,0.192,0.034,-1.079,-0.792,-0.842,-0.444,-1.050,-0.717
3837.00,-0.038,0.198,0.033,-1.154,-0.563,-0.848,-0.441,-1.070,-0.686
3860.00,-0.037,0.199,0.034,-1.148,-0.779,-0.853,-0.447,-1.085,-0.704
3883.00,-0.037,0.206,0.033,-1.072,-0.334,-0.857,-0.438,-1.085,-0.630
3906.00,-0.038,0.210,0.034,-0.949,-0.564,-0.861,-0.436,-1.062,-0.610
3928.00,-0.038,0.209,0.034,-1.128,-1.351,-0.866,-0.456,-1.075,-0.749
3951.00,-0.038,0.209,0.033,-1.022,-0.414,-0.869,-0.455,-1.066,-0.692
3974.00,-0.039,0.212,0.034,-0.978,-0.771,-0.873,-0.458,-1.050,-0.707
3997.00,-0.041,0.216,0.033,-1.157,-1.144,-0.880,-0.468,-1.071,-0.791
4020.00,-0.041,0.217,0.033,-1.037,-0.387,-0.883,-0.465,-1.065,-0.722
4043.00,-0.042,0.223,0.031,-1.057,-0.918,-0.888,-0.468,-1.064,-0.759
4066.00,-0.042,0.224,0.031,-1.153,-0.639,-0.893,-0.471,-1.081,-0.742
4089.00,-0.047,0.227,0.031,-1.062,-0.580,-0.900,-0.470,-1.082,-0.713
4112.00,-0.049,0.227,0.027,-0.991,-0.852,-0.905,-0.478,-1.068,-0.742
4135.00,-0.049,0.227,0.028,-1.039,-0.656,-0.908,-0.481,-1.061,-0.730
4158.00,-0.051,0.231,0.027,-1.146,-0.895,-0.914,-0.485,-1.078,-0.761
4180.00,-0.049,0.233,0.026,-1.124,-0.534,-0.917,-0.485,-1.086,-0.722
4203.00,-0.051,0.237,0.030,-1.128,-0.418,-0.922,-0.479,-1.096,-0.662
4226.00,-0.051,0.241,0.028,-1.129,-1.087,-0.926,-0.488,-1.104,-0.737
