timestamp_ms,gyrox_dps,gyroy_dps,gyroz_dps,accelx_gs,accely_gs,accelz_gs
577848,-0.061,0.122,0.244,-0.007,-0.014,1.010
577871,-0.061,0.183,0.061,-0.005,-0.015,1.011
577893,0.000,0.000,0.061,-0.006,-0.017,1.010
577916,0.061,0.061,0.061,-0.009,-0.016,1.011
577939,-0.061,0.061,0.000,-0.007,-0.016,1.010
577962,0.061,0.305,-0.061,-0.009,-0.014,1.009
577985,-0.061,0.061,0.061,-0.008,-0.014,1.010
578008,-0.122,0.183,0.061,-0.008,-0.015,1.011
578031,-0.122,0.183,0.122,-0.006,-0.017,1.010
578054,-0.061,0.244,-0.061,-0.006,-0.015,1.010
578077,-0.122,0.183,-0.061,-0.007,-0.016,1.012
578100,-0.061,0.122,0.122,-0.009,-0.015,1.011
578123,0.000,0.122,-0.122,-0.007,-0.016,1.011
578145,-0.061,0.122,0.061,-0.008,-0.015,1.010
578168,-0.061,0.122,0.061,-0.007,-0.014,1.010
578191,-0.183,0.000,-0.183,-0.007,-0.014,1.010
578214,-0.122,0.244,0.000,-0.008,-0.015,1.012
578237,0.000,0.000,0.122,-0.008,-0.016,1.011
578260,-0.061,0.183,0.061,-0.008,-0.014,1.011
578283,0.000,0.244,0.061,-0.009,-0.013,1.011
578306,0.000,0.000,0.061,-0.008,-0.014,1.011
578329,0.000,0.000,0.061,-0.006,-0.017,1.012
578352,-0.061,0.122,0.122,-0.007,-0.016,1.011
578374,-0.061,0.122,-0.061,-0.008,-0.014,1.010
578397,-0.061,-0.061,0.122,-0.009,-0.013,1.012
578420,-0.061,0.122,0.183,-0.006,-0.017,1.011
578443,0.000,0.000,0.122,-0.006,-0.021,1.012
578466,0.000,0.183,-0.061,-0.007,-0.016,1.012
578489,-0.122,0.183,0.061,-0.010,-0.012,1.008
578512,0.061,0.183,0.183,-0.011,-0.010,1.010
578535,0.000,0.061,0.183,-0.009,-0.013,1.010
578558,0.000,0.183,0.122,-0.007,-0.015,1.011
578581,0.122,0.122,0.000,-0.005,-0.017,1.010
578604,0.000,0.183,0.061,-0.008,-0.017,1.012
578626,0.000,0.122,-0.061,-0.008,-0.015,1.008
578649,-0.122,0.183,0.244,-0.008,-0.012,1.012
578672,-0.122,0.122,0.183,-0.006,-0.017,1.012
